Repository,Release Tag,Commit SHA,Refactoring name,Refactoring information, Metric,Metric full name,Affected code structure,Code structure name,Value before,Value after
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,eec71727a225812fe34bd8ab09df11f1c2a87b97,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,AHF,Attribute Hiding Factor,Class,Interceptor,-,-
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,eec71727a225812fe34bd8ab09df11f1c2a87b97,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,MIF,Method Inheritance Factor,Class,Interceptor,-,0.0
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,673fc6c806731e5a5a53bb67bfcb1f4f67ef1d05,Pull Up Method,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,MHF,Method Hiding Factor,Class,PluginTest,0.0,0.0
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,673fc6c806731e5a5a53bb67bfcb1f4f67ef1d05,Pull Up Method,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,RFC,Response For a Class,Class,PluginTest,2,2
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,673fc6c806731e5a5a53bb67bfcb1f4f67ef1d05,Pull Up Method,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,TLOC,Total Lines of Code,Class,PluginTest,22,17
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,673fc6c806731e5a5a53bb67bfcb1f4f67ef1d05,Pull Up Method,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,MIF,Method Inheritance Factor,Class,PluginTest,0.0,0.0
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,673fc6c806731e5a5a53bb67bfcb1f4f67ef1d05,Pull Up Method,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,WMC,Weighted methods per Class,Class,PluginTest,2,2
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,673fc6c806731e5a5a53bb67bfcb1f4f67ef1d05,Pull Up Method,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,LCOM*,Lack of Cohesion Methods (H-S),Class,PluginTest,-,-
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,673fc6c806731e5a5a53bb67bfcb1f4f67ef1d05,Pull Up Method,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,AIF,Attribute Inheritance Factor,Class,PluginTest,-,-
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,673fc6c806731e5a5a53bb67bfcb1f4f67ef1d05,Pull Up Method,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,AHF,Attribute Hiding Factor,Class,PluginTest,-,-
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,673fc6c806731e5a5a53bb67bfcb1f4f67ef1d05,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,RFC,Response For a Class,Class,Interceptor,0,2
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,673fc6c806731e5a5a53bb67bfcb1f4f67ef1d05,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,TLOC,Total Lines of Code,Class,Interceptor,5,8
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,673fc6c806731e5a5a53bb67bfcb1f4f67ef1d05,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,WMC,Weighted methods per Class,Class,Interceptor,3,3
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,673fc6c806731e5a5a53bb67bfcb1f4f67ef1d05,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,LCOM*,Lack of Cohesion Methods (H-S),Class,Interceptor,-,-
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,673fc6c806731e5a5a53bb67bfcb1f4f67ef1d05,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,MHF,Method Hiding Factor,Class,Interceptor,-,0.0
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,673fc6c806731e5a5a53bb67bfcb1f4f67ef1d05,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,AIF,Attribute Inheritance Factor,Class,Interceptor,-,-
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,673fc6c806731e5a5a53bb67bfcb1f4f67ef1d05,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,AHF,Attribute Hiding Factor,Class,Interceptor,-,-
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,673fc6c806731e5a5a53bb67bfcb1f4f67ef1d05,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,MIF,Method Inheritance Factor,Class,Interceptor,-,0.0
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,734111dbf8ea4a133d4f8b864f159c8e412ad418,Pull Up Method,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,MHF,Method Hiding Factor,Class,PluginTest,0.0,0.0
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,734111dbf8ea4a133d4f8b864f159c8e412ad418,Pull Up Method,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,RFC,Response For a Class,Class,PluginTest,2,2
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,734111dbf8ea4a133d4f8b864f159c8e412ad418,Pull Up Method,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,MIF,Method Inheritance Factor,Class,PluginTest,0.0,0.0
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,734111dbf8ea4a133d4f8b864f159c8e412ad418,Pull Up Method,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,TLOC,Total Lines of Code,Class,PluginTest,22,17
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,734111dbf8ea4a133d4f8b864f159c8e412ad418,Pull Up Method,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,WMC,Weighted methods per Class,Class,PluginTest,2,2
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,734111dbf8ea4a133d4f8b864f159c8e412ad418,Pull Up Method,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,LCOM*,Lack of Cohesion Methods (H-S),Class,PluginTest,-,-
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,734111dbf8ea4a133d4f8b864f159c8e412ad418,Pull Up Method,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,AIF,Attribute Inheritance Factor,Class,PluginTest,-,-
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,734111dbf8ea4a133d4f8b864f159c8e412ad418,Pull Up Method,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,AHF,Attribute Hiding Factor,Class,PluginTest,-,-
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,734111dbf8ea4a133d4f8b864f159c8e412ad418,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,RFC,Response For a Class,Class,Interceptor,0,2
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,734111dbf8ea4a133d4f8b864f159c8e412ad418,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,TLOC,Total Lines of Code,Class,Interceptor,5,8
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,734111dbf8ea4a133d4f8b864f159c8e412ad418,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,WMC,Weighted methods per Class,Class,Interceptor,3,3
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,734111dbf8ea4a133d4f8b864f159c8e412ad418,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,LCOM*,Lack of Cohesion Methods (H-S),Class,Interceptor,-,-
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,734111dbf8ea4a133d4f8b864f159c8e412ad418,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,MHF,Method Hiding Factor,Class,Interceptor,-,0.0
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,734111dbf8ea4a133d4f8b864f159c8e412ad418,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,AIF,Attribute Inheritance Factor,Class,Interceptor,-,-
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,734111dbf8ea4a133d4f8b864f159c8e412ad418,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,AHF,Attribute Hiding Factor,Class,Interceptor,-,-
https://github.com/mybatis/mybatis-3,mybatis-3.5.4,734111dbf8ea4a133d4f8b864f159c8e412ad418,Pull Up Method_AFTER,Pull Up Method	public plugin(target Object) : Object from class org.apache.ibatis.plugin.PluginTest.AlwaysMapPlugin to public plugin(target Object) : Object from class org.apache.ibatis.plugin.Interceptor,MIF,Method Inheritance Factor,Class,Interceptor,-,0.0
